Month of Year,Domain,Operating System,State/Province,Source,Bounces,Entrances,Pageviews,Time on Page
1,bell.ca,iOS,Quebec,web33.uottawa.ca,5,9,14,356
1,unknown.unknown,iOS,,google,5,14,23,56
1,bell.ca,iOS,Ontario,catalogue.bib.uottawa.ca,5,14,23,702
1,rogers.com,iOS,Ontario,med.uottawa.ca,5,14,23,201
1,rogers.com,iOS,Ontario,registrar.uottawa.ca,5,14,33,356
1,unknown.unknown,iOS,Ontario,search,5,14,23,215
1,unknown.unknown,iOS,Ontario,uottawa.ca.libguides.com,5,14,28,61
1,acndigital.net,iOS,Ontario,web.ebscohost.com.proxy.bib.uottawa.ca,5,14,47,"4,069"
1,,iOS,,uottawa.ca,9,9,9,0
1,comcast.net,iOS,Florida,uottawa.ca,9,9,9,0
1,cgocable.net,iOS,Ontario,(direct),9,9,9,0
1,cgocable.net,iOS,Ontario,academiccareers.uottawa.ca,9,9,9,0
1,anikast.net,iOS,Ontario,google,9,9,9,0
1,uottawa.ca,iOS,Ontario,search,9,9,33,398
1,uottawa.ca,iOS,Ontario,tlss.uottawa.ca,9,9,9,0
1,distributel.net,iOS,Ontario,uottawa.ca,9,9,9,0
1,ottawahospital.on.ca,iOS,Ontario,uottawa.ca,9,9,9,0
1,teksavvy.com,iOS,Ontario,uottawa.ca.libguides.com,9,9,9,0
1,uottawa.ca,iOS,Ontario,virtualcampus.uottawa.ca,9,9,9,0
1,uottawa.ca,iOS,Ontario,yahoo,9,9,9,0
1,unknown.unknown,iOS,Quebec,catalogue.bib.uottawa.ca,9,9,9,0
1,distributel.net,iOS,Quebec,google,9,9,9,0
1,videotron.ca,iOS,Quebec,search,9,9,9,0
1,telebecinternet.net,iOS,Quebec,uottawa.ca,9,9,9,0
1,prod-infinitum.com.mx,iOS,Jalisco,(direct),9,14,19,267
1,unknown.unknown,iOS,Ontario,google.ca,9,14,19,557
1,unknown.unknown,iOS,Ontario,m.facebook.com,9,14,23,969
1,uottawa.ca,iOS,Ontario,socialsciences.uottawa.ca,9,14,19,47
1,primus.ca,iOS,Ontario,uottawa.ca,9,14,23,524
1,uottawa.ca,iOS,Ontario,uottawa.ca.libguides.com,9,14,37,"3,053"
1,bell.ca,iOS,Ontario,web33.uottawa.ca,9,14,19,56
1,unknown.unknown,iOS,Quebec,web33.uottawa.ca,9,14,23,131
1,unknown.unknown,iOS,,uottawa.ca,9,19,28,899
1,carleton.ca,iOS,Ontario,(direct),9,23,56,"5,094"
1,uottawa.ca,iOS,Ontario,catalogue.bib.uottawa.ca,9,33,56,"7,590"
1,bell.ca,iOS,Quebec,google,9,33,131,"5,909"
1,videotron.ca,iOS,Quebec,web33.uottawa.ca,9,37,211,"14,412"
1,unknown.unknown,iOS,Ontario,yahoo,14,19,23,468
1,bell.ca,iOS,Quebec,uottawa.ca,14,19,23,5
1,distributel.net,iOS,Quebec,uottawa.ca,14,19,23,122
1,ottawahospital.on.ca,iOS,Ontario,(direct),14,23,56,"3,109"
1,rogers.com,iOS,Ontario,catalogue.bib.uottawa.ca,14,23,33,"2,720"
1,,iOS,,(direct),14,28,42,337
1,uottawa.ca,iOS,Ontario,web33.uottawa.ca,14,37,117,"8,732"
1,carleton.ca,iOS,Ontario,uottawa.ca,19,19,19,0
1,rogers.com,iOS,Ontario,web33.uottawa.ca,19,28,66,276
1,unknown.unknown,iOS,Ontario,web33.uottawa.ca,19,52,187,"18,177"
1,telus.com,iOS,Ontario,google,23,23,23,0
1,uottawa.ca,iOS,Ontario,registrar.uottawa.ca,23,23,23,0
1,teksavvy.com,iOS,Ontario,(direct),23,28,33,23
1,telus.com,iOS,Quebec,uottawa.ca,23,28,33,75
1,telus.com,iOS,Ontario,(direct),23,33,42,215
1,teksavvy.com,iOS,Ontario,uottawa.ca,23,33,47,524
1,telus.com,iOS,Quebec,google,23,56,112,"8,409"
1,unknown.unknown,iOS,Ontario,registrar.uottawa.ca,28,33,42,"5,502"
1,telus.com,iOS,Quebec,(direct),28,42,84,"1,840"
1,unknown.unknown,iOS,Ontario,catalogue.bib.uottawa.ca,28,47,103,"1,962"
1,carleton.ca,iOS,Ontario,google,33,37,47,215
1,teksavvy.com,iOS,Ontario,google,33,42,61,482
1,ottawahospital.on.ca,iOS,Ontario,google,33,61,89,"2,215"
1,bell.ca,iOS,Ontario,google,33,80,248,"21,407"
1,videotron.ca,iOS,Quebec,google,42,56,89,922
1,videotron.ca,iOS,Quebec,(direct),47,89,187,"12,942"
1,unknown.unknown,iOS,Quebec,uottawa.ca,80,122,253,"4,575"
1,videotron.ca,iOS,Quebec,uottawa.ca,94,126,192,"8,892"
1,unknown.unknown,iOS,Quebec,(direct),112,201,379,"12,979"
1,bell.ca,iOS,Ontario,uottawa.ca,136,197,276,"9,285"
